entry_idx,entry_price,exit_idx,exit_price,reason
14,56.01,15,55.6,trailingTP
49,54.52,50,55.185,trailingTP
76,56.355,77,57.2,trailingTP
117,66.78,118,66.69,trailingTP
139,65.24,150,72.96,sellSignal
154,77.04,155,75.65,trailingTP
182,74.15,183,75.26,trailingTP
201,77.55,202,79.05,trailingTP
228,81.13,229,80.12,trailingTP
239,80.57,240,78.78,trailingTP
252,74.635,253,74.85,trailingTP
262,74.26,263,74.585,trailingTP
280,76.44,281,77.31,trailingTP
328,87.32,329,90.46,trailingTP
343,89.85,344,88.97,trailingTP
353,87.17,354,86.695,trailingTP
371,90.85,372,90.97,trailingTP
393,84.805,394,84.3,trailingTP
401,84.88,402,85.675,trailingTP
426,89.34,427,86.96,trailingTP
441,87.355,442,87.965,trailingTP
462,83.61,463,83.225,trailingTP
483,76.395,484,76.355,trailingTP
493,78.75,494,79.085,trailingTP
537,80.75,538,81.545,trailingTP
553,86.5,554,85.91,trailingTP
605,101.52,606,101.78,trailingTP
615,98.74,616,103.2,trailingTP
637,112.775,638,113.005,trailingTP
668,98.03,669,96.99,trailingTP
686,103.36,687,102.44,trailingTP
