entry_idx,entry_price,exit_idx,exit_price,reason
8,84.6,9,84.63,trailingTP
39,88.05,40,87.92,trailingTP
54,86.86,55,87.51,trailingTP
77,87.145,78,86.81,trailingTP
90,86.7,91,86.8,trailingTP
113,87.66,114,87.6,trailingTP
132,87.42,133,87.44,trailingTP
140,86.89,141,86.76,trailingTP
154,85.88,155,85.9,trailingTP
158,86.0,159,86.05,trailingTP
178,86.07,179,85.61,trailingTP
186,85.31,187,85.15,trailingTP
203,85.93,204,86.22,trailingTP
226,89.72,227,90.11,trailingTP
258,89.18,259,89.63,trailingTP
267,91.505,268,91.09,trailingTP
282,89.26,283,89.18,trailingTP
311,89.86,312,89.98,trailingTP
318,93.0,319,92.92,trailingTP
334,93.47,335,94.94,trailingTP
355,94.755,356,94.98,trailingTP
365,94.875,366,94.98,trailingTP
387,93.64,388,93.48,trailingTP
401,95.37,402,95.06,trailingTP
417,96.73,418,97.2,trailingTP
431,97.3,432,97.865,trailingTP
445,96.69,446,96.19,trailingTP
480,101.97,481,102.57,trailingTP
502,103.58,503,103.705,trailingTP
512,106.61,513,106.48,trailingTP
530,105.62,531,105.69,trailingTP
538,105.09,539,105.93,trailingTP
542,106.865,543,107.41,trailingTP
558,108.56,559,106.99,trailingTP
591,107.8,592,107.54,trailingTP
621,112.34,622,111.025,sellSignal
624,112.39,625,112.33,trailingTP
632,112.98,633,112.66,trailingTP
646,109.85,647,109.78,trailingTP
649,109.82,650,109.41,trailingTP
657,109.35,658,109.51,trailingTP
674,107.46,675,108.675,trailingTP
684,110.12,685,110.45,trailingTP
710,114.115,711,114.14,trailingTP
718,114.935,719,115.61,trailingTP
728,115.165,729,115.35,trailingTP
742,117.15,743,117.12,trailingTP
750,115.0,751,115.05,trailingTP
