entry_idx,entry_price,exit_idx,exit_price,reason
16,139.28,17,139.56,trailingTP
24,139.74,25,140.43,trailingTP
52,146.38,53,147.19,trailingTP
70,146.705,71,146.85,trailingTP
98,138.06,99,138.63,trailingTP
113,133.12,114,134.42,trailingTP
119,132.19,120,131.42,trailingTP
138,133.74,139,133.89,trailingTP
157,133.54,158,136.3,trailingTP
166,133.0,167,132.515,trailingTP
173,133.27,174,133.93,trailingTP
189,137.9,190,137.8,trailingTP
206,139.19,207,143.4,trailingTP
220,144.78,221,145.07,trailingTP
232,145.62,233,145.92,trailingTP
