entry_idx,entry_price,exit_idx,exit_price,reason
7,18.12,8,17.91,sellSignal
29,17.44,30,17.605,trailingTP
37,17.685,38,17.555,trailingTP
48,17.96,49,17.96,trailingTP
56,17.76,57,17.82,trailingTP
82,18.93,83,19.02,trailingTP
96,19.26,97,19.23,trailingTP
132,18.145,133,18.14,trailingTP
145,18.06,146,18.615,trailingTP
168,19.45,169,19.42,trailingTP
203,20.165,204,19.38,sellSignal
211,20.0,212,19.705,trailingTP
225,20.025,226,20.61,trailingTP
239,21.35,240,22.11,trailingTP
262,24.65,263,24.61,trailingTP
321,20.46,322,20.575,trailingTP
343,20.27,344,20.565,trailingTP
371,21.465,372,21.445,trailingTP
381,21.295,382,21.32,trailingTP
402,21.7,403,21.69,trailingTP
410,21.675,411,21.34,trailingTP
450,23.69,451,24.25,trailingTP
466,23.08,467,23.355,trailingTP
481,24.04,482,23.975,trailingTP
502,21.585,503,21.505,trailingTP
512,21.37,513,21.4,trailingTP
538,21.325,539,21.405,trailingTP
551,21.77,552,21.47,trailingTP
559,21.35,560,21.41,trailingTP
572,22.575,573,22.955,trailingTP
584,23.13,585,23.35,trailingTP
603,23.44,604,23.365,trailingTP
616,23.115,617,22.945,trailingTP
625,22.0,626,21.865,trailingTP
640,22.345,641,22.425,trailingTP
687,22.715,688,22.785,trailingTP
713,20.845,714,20.835,trailingTP
731,21.5,732,21.27,trailingTP
