entry_idx,entry_price,exit_idx,exit_price,reason
7,66.78,8,66.76,trailingTP
19,69.47,20,70.0,trailingTP
55,44.24,56,42.94,trailingTP
59,43.245,60,45.97,trailingTP
73,35.53,74,37.51,trailingTP
92,47.97,93,47.87,trailingTP
120,36.69,121,35.58,trailingTP
132,32.8,133,31.33,trailingTP
145,31.93,146,31.86,trailingTP
161,26.8,162,27.35,trailingTP
174,26.89,175,26.92,trailingTP
183,27.07,184,26.37,trailingTP
188,26.865,189,25.77,sellSignal
200,22.47,201,23.16,trailingTP
211,21.84,212,21.69,trailingTP
228,22.605,229,23.325,trailingTP
239,22.685,240,23.515,trailingTP
