entry_idx,entry_price,exit_idx,exit_price,reason
7,16.62,8,17.0,trailingTP
24,16.21,25,16.14,trailingTP
54,15.685,55,15.6,trailingTP
71,15.57,72,15.505,trailingTP
111,16.56,112,16.34,trailingTP
141,15.59,142,15.61,trailingTP
175,17.88,176,17.725,trailingTP
253,14.48,254,14.315,trailingTP
280,13.84,281,13.81,trailingTP
306,13.335,307,13.49,trailingTP
314,13.38,315,13.4,trailingTP
329,13.295,330,13.32,trailingTP
360,14.865,361,14.8,trailingTP
386,14.645,387,14.34,sellSignal
394,14.58,395,14.51,trailingTP
408,14.165,409,13.985,trailingTP
430,13.73,431,13.73,trailingTP
442,13.795,443,14.09,trailingTP
455,13.8,456,13.69,trailingTP
468,13.54,469,13.55,trailingTP
485,12.64,486,12.535,trailingTP
520,13.83,521,13.615,trailingTP
528,13.62,529,13.665,trailingTP
555,14.44,556,14.385,trailingTP
569,15.22,570,15.285,trailingTP
587,14.915,588,15.22,trailingTP
604,14.81,605,14.725,trailingTP
625,15.37,626,15.295,trailingTP
655,16.24,656,16.185,trailingTP
669,16.815,670,16.965,trailingTP
681,17.25,682,16.83,trailingTP
